contamination,precision,recall,f1,support_fraud,tn,fp,fn,tp,roc_auc
0.001,0.0,0.0,0.0,52,39917,31,52,0,0.8536645716354337
0.001288,0.0,0.0,0.0,52,39903,45,52,0,0.8536645716354337
0.002,0.0,0.0,0.0,52,39865,83,52,0,0.8536645716354337
0.005,0.0330188679245283,0.1346153846153846,0.053030303030303025,52,39743,205,45,7,0.8536645716354337
0.01,0.0343980343980344,0.2692307692307692,0.061002178649237467,52,39555,393,38,14,0.8536645716354337
0.02,0.022673031026252982,0.36538461538461536,0.04269662921348315,52,39129,819,33,19,0.8536645716354337
0.05,0.013684744044602128,0.5192307692307693,0.026666666666666665,52,38002,1946,25,27,0.8536645716354337
